1,91,1536,272,99
2,38,496,63,31
3,102,1321,173,91
4,70,872,141,62
5,58,744,94,46
6,102,1139,160,78
7,102,1321,173,91
8,45,800,144,70
9,79,917,179,83
10,45,800,144,70
11,158,1871,265,90
12,93,1478,245,122
13,45,768,136,49
14,91,1600,289,141
15,59,701,99,34
16,64,689,110,51
17,20,619,108,51
18,68,1200,217,105
19,39,566,91,56
20,88,908,152,71
21,83,2478,432,205
22,60,1067,192,94
23,79,917,179,83
24,46,739,122,61
25,96,1034,166,76
26,91,1600,289,141
27,167,1863,258,103
28,167,1863,258,103
29,70,872,141,62
30,68,759,107,52
31,34,379,53,26
32,68,1200,217,105
33,52,654,106,46
34,95,2086,225,163
35,26,305,59,27
36,52,611,119,55
37,96,1034,166,76
38,128,1379,221,102
39,41,1239,216,102
40,68,1200,217,105
41,155,1986,252,124
42,68,1200,217,105
43,70,872,141,62
44,23,326,77,26
45,96,1034,166,76
46,68,759,107,52
47,83,2478,432,205
48,143,2417,273,187
49,102,1107,171,71
50,102,1107,171,71
51,98,1036,207,73
52,64,689,110,51
53,125,1397,193,77
54,102,1321,173,91
55,22,384,68,24
56,158,1871,265,90
57,52,611,119,55
58,68,759,107,52
59,45,800,144,70
60,91,1600,289,141
61,132,1822,241,133
62,64,689,110,51
63,131,1382,276,98
64,83,2478,432,205
65,83,2478,432,205
66,58,849,136,85
67,45,800,144,70
68,73,1436,223,97
69,167,1863,258,103
70,0,0,0,0
71,41,1239,216,102
72,26,305,59,27
73,91,1600,289,141
74,64,689,110,51
75,83,2478,432,205
76,158,1871,265,90
77,70,1071,185,70
78,75,987,183,70
79,54,656,90,42
80,28,370,68,26
81,28,370,68,26
82,37,493,91,35
83,140,2143,370,140
84,72,875,120,56
85,18,246,45,17
86,9,123,22,8
87,49,957,148,64
88,58,816,193,66
89,76,962,186,94
90,23,326,77,26
91,70,1184,126,68
92,52,803,139,52
93,35,592,63,34
94,50,641,124,62
95,17,245,58,20
96,37,493,91,35
97,70,1184,126,68
98,117,1171,170,80
99,139,1854,144,80
100,9,123,22,8
101,37,493,91,35
102,69,927,72,40
103,18,246,45,17
104,56,740,137,52
105,117,1171,170,80
106,36,718,111,48
107,185,2472,192,107
108,56,740,137,52
109,109,1313,180,84
110,50,641,124,62
111,139,1854,144,80
112,50,641,124,62
113,37,493,91,35
114,37,493,91,35
115,106,1777,189,103
116,69,927,72,40
117,11,163,38,13
118,18,246,45,17
119,70,1184,126,68
120,56,740,137,52
121,19,272,64,22
122,139,1854,144,80
123,46,618,48,26
124,35,490,116,40
125,37,493,91,35
126,24,375,64,24
127,70,1184,126,68
128,106,1777,189,103
