184,Inverness,104,0,0
185,Raigmore,104,24,3904
186,Waterloo Place,104,23,2701
187,Aberlour,105,5,1106
188,Buckie,105,24,6270
189,Cullen,105,5,2083
190,Dufftown,105,5,1668
191,Huntly,105,15,3580
192,Insch,105,7,3277
193,Keith,105,15,3534
194,Limehillocks,105,2.5,856
195,Marnoch,105,6.25,1756
196,Rothes,105,5,1357
197,Cashlie,106,0,73
198,Coshieville,106,2.5,838
199,Killin Town,106,,528
200,Kingshouse,106,0,0
201,Loch Lubnaig,106,0,0
202,Lochearnhead,106,4,643
203,Wester Drummond,106,0.1,13
204,Banchory,107,14,5582
205,Fyvie,107,8,1685
206,Inverurie,107,17,8197
207,Kemnay,107,15,2194
208,Methlick,107,5,1118
209,Midmar,107,5,1415
210,Oldmeldrum,107,8,2703
211,Skene,107,30,5528
212,Torryburn,107,24,4155
213,Lairg,108,0,0
214,Torboll,108,0.1,7
215,Tressady,108,0.5,239
216,Friokheim,109,0,0
217,Inverarity,109,5,318
218,Lochside,109,0,0
219,Lunanhead,109,0,4104
220,Maryton,109,15,4672
221,Lochee,110,23,4241
222,Lyndhurst,110,10,2196
223,MacAlpine Road,110,15,5187
224,West Kirkton,110,23,5045
225,MacDuff,111,12.5,6506
226,Portsoy,111,5,1212
227,Turriff,111,15,4477
228,Ashludie,112,10,5512
229,Baldovie,112,24,5080
230,Broughty Ferry,112,10,5039
231,Edzell Street,112,10,2415
232,Longhaugh,112,23,6426
233,Milton of Craigie,112,0,4129
234,Old Craigie Road,112,10,4073
235,Bettyhill,113,2.5,491
236,Coldbackie,113,2.5,380
237,Latheron,113,4,1208
238,Melvich,113,1,462
239,Wick,113,24,5207
240,Arderseir,114,0,0
241,Dalcross,114,15,699
242,Forres,114,15,6721
243,Lethen,114,2.5,872
244,Nairn Central,114,0,5832
245,Bridge of Don,115,24,6760
246,Haudagain,115,23,5613
247,Northfield,115,15,4389
248,St Machar,115,24,7055
249,Stoneywood Mills T3,115,24,3377
250,Stoneywood T1 T2,115,0,0
251,Whitestripes,115,0,0
252,Peterhead Grange,116,0,0
253,Boddam,116,0,878
254,Arigh-na-Brodaig,117,0,0
255,Bowmore,117,8,1527
256,Crinan,117,1,410
257,Furnace Quarry,117,2.5,1
258,Inverneil,117,2.5,452
259,Lochgilphead,117,24,3035
260,Lussagiven,117,0.1,13
261,Port Askaig,117,2.5,469
262,Port Ellen,117,4,835
263,Stonefield,117,0,0
264,"Tarbert, Jura",117,0,984
265,"Tarbert, Loch Fyne",117,0,0
266,Quoich,118,0,0
