Boat of Garten,SSE,Constrained,132 / 33,60,57.254222,-3.732094
Braco,SSE,Unconstrained,132 / 33,120,56.276303,-3.877893
Bridge of Dun,SSE,Constrained,132 / 33,60,56.720172,-2.556965
Broadford,SSE,Constrained,132 / 33,30,57.248158,-5.935993
Brora,SSE,Constrained,132 / 33,15,58.013794,-3.855323
Burghmuir,SSE,Constrained,132 / 33,60,56.396619,-3.487826
Carradale,SSE,Constrained,132 / 33,150,55.590278,-5.502703
Charleston,SSE,Unconstrained,132 / 33,120,56.474098,-3.044901
Clachan,SSE,Constrained,132 / 11,60,56.277449,-4.921713
Clayhills,SSE,Unconstrained,132 / 33,60,57.140092,-2.098626
Coupar Angus,SSE,Constrained,132 / 33,45,56.538361,-3.273518
Craigiebuckler,SSE,Unconstrained,132 / 33,30,57.131502,-2.154108
Dudhope,SSE,Unconstrained,132 / 33,60,56.463229,-2.978388
Dunoon,SSE,Constrained,132 / 33,45,55.975698,-4.947802
Dunvegan,SSE,Constrained,132 / 33,60,57.433167,-6.540466
Dyce,SSE,Constrained,132 / 33,60,57.215803,-2.190057
Fasnakyle,SSE,Constrained,275 / 33,90,57.329043,-4.792223
Fiddes,SSE,Constrained,132 / 33,90,56.924618,-2.302089
Fort Augustus,SSE,Constrained,132 / 33,15,57.137158,-4.718903
Fort William,SSE,Constrained,132 / 33,60,56.820715,-5.07848
Fraserburgh,SSE,Unconstrained,132 / 33,45,57.686272,-2.024137
Grudie Bridge,SSE,Constrained,132 / 11,90,57.619445,-4.83123
Inverness,SSE,Unconstrained,132 / 33,90,57.453642,-4.246573
Keith,SSE,Constrained,132 / 33,90,57.540325,-2.938424
Killin,SSE,Constrained,132 / 33,45,56.477032,-4.32964
Kintore,SSE,Constrained,132 / 33,120,57.21977,-2.380835
Lairg,SSE,Constrained,132 / 33,90,58.030041,-4.413213
Lunanhead,SSE,Unconstrained,132 / 33,90,56.654355,-2.865406
Lyndhurst,SSE,Unconstrained,132 / 33,60,56.481154,-3.017492
MacDuff,SSE,Constrained,132 / 33,90,57.664093,-2.498451
Milton of Craigie,SSE,Unconstrained,132 / 33,60,56.475411,-2.924641
Mybster,SSE,Constrained,132 / 33,60,58.444579,-3.425288
Nairn,SSE,Constrained,132 / 33,60,57.576481,-3.846888
Persley,SSE,Unconstrained,132 / 33,90,57.174279,-2.138079
Peterhead Grange,SSE,Unconstrained,132 / 33,45,57.508723,-1.805721
Port Ann,SSE,Constrained,132 / 33,30,56.028344,-5.356707
Quoich,SSE,Constrained,132 / 11,30,57.069517,-5.107652
Redmoss,SSE,Unconstrained,132 / 33,60,57.108477,-2.091608
Shin,SSE,Constrained,132 / 11,90,57.943604,-4.413149
Sloy,SSE,Constrained,132 / 11,50,56.24514,-4.730698
Strichen,SSE,Unconstrained,132 / 33,90,57.586102,-2.069895
Tarland,SSE,Unconstrained,132 / 33,30,57.151942,-2.787241
Taynuilt,SSE,Constrained,132 / 33,90,56.430033,-5.214072
Thurso,SSE,Constrained,132 / 33,60,58.574015,-3.511711
Tummel Bridge,SSE,Constrained,132 / 33,21,56.704495,-4.020386
Willowdale,SSE,Unconstrained,132 / 33,60,57.153837,-2.097175
Woodhill,SSE,Unconstrained,132 / 33,90,57.154328,-2.146269
