1,120,55.457,-4.5213,25858,5999,6922,4797,8107,26888,256,22713,2020,310,82,62
2,60,56.015,-3.7677,16467,3204,3915,3346,5993,18142,214,13410,2146,184,120,94
3,90,55.9,-3.6729,25264,5434,7433,6064,6326,28566,127,22524,1260,416,314,109
4,60,55.777,-2.0789,4115,1633,1049,948,479,5572,121,1889,539,1005,270,86
5,90,56.009,-3.8597,31568,7069,8501,7207,8768,37209,298,27864,2235,341,156,166
6,90,55.88,-4.3806,22605,1001,3563,4253,13731,17917,572,17819,3612,30,11,93
7,90,55.92,-3.4537,15785,3608,4188,4611,3361,18920,232,13562,1093,421,100,80
8,60,55.857,-4.1972,11480,317,1226,1068,8803,5847,495,8025,2511,16,4,66
9,90,55.016,-3.2318,16863,6063,4416,4587,1709,21008,310,10010,1959,2935,772,179
10,60,55.855,-4.2398,19873,1269,3323,2191,13011,13502,702,14753,3779,26,9,89
11,120,55.852,-4.0143,35654,3804,9950,8223,13670,32081,562,30919,3045,50,48,133
12,120,55.967,-2.9669,21278,5078,6737,5664,3789,26259,206,17147,1915,1081,336,161
13,60,55.448,-4.43,24032,5704,7413,5941,4949,26518,171,20152,1059,1631,484,156
14,120,55.822,-4.3641,9580,1857,3034,1524,3135,10314,165,8392,689,115,9,37
15,45,55.948,-3.9647,21713,4160,2831,9430,5285,22425,467,17495,3206,65,41,80
16,60,56.314,-3.0359,25786,8477,7382,4239,5534,32190,457,19812,2457,1956,207,280
17,30,55.901,-3.3084,5020,1923,1742,716,638,6835,45,4596,198,91,12,20
18,90,55.835,-4.2045,6955,316,1382,999,4223,5206,198,5441,1100,14,6,22
19,60,55.917,-4.7095,14772,753,2890,2997,8130,11194,366,11021,2831,37,5,102
20,90,56.138,-3.7802,24102,5873,6654,5417,6149,28141,211,20867,1899,355,142,126
21,120,55.947,-3.2104,30190,2854,3618,3672,20000,23658,1336,24291,3777,42,12,92
22,80,55.915,-4.3483,17652,3555,4509,2800,6778,17907,312,14992,1914,48,9,57
23,90,55.068,-3.5916,26319,8618,7996,4653,4970,31579,531,16651,3525,4037,490,247
24,60,55.978,-2.574,10974,3790,2836,1679,2626,14158,219,7900,1470,798,216,145
25,90,56.09,-3.4492,36350,10357,8562,8480,8934,43184,325,32061,2375,566,194,155
26,120,55.879,-4.0754,16977,4117,5308,3428,4121,20147,169,15274,1043,152,36,58
27,120,55.786,-4.1934,19405,3015,3765,7364,5256,19837,238,16637,1978,114,41,97
28,120,55.74,-4.1625,11264,1829,1645,4292,3494,12215,163,9376,1385,75,24,81
29,60,55.669,-2.3275,9927,3112,3102,1930,1754,13160,275,5467,1470,1612,580,135
30,60,55.84,-4.4644,33491,3324,7052,5900,17194,27339,848,27637,3986,59,19,294
31,30,55.904,-4.4822,9533,2484,2760,3146,1143,12633,75,8919,293,60,8,48
32,90,55.863,-4.2858,17220,476,1840,1602,13204,8771,743,12037,3767,24,7,99
33,45,55.612,-2.7697,19937,5927,4441,3675,5878,24623,520,12933,3377,1895,364,165
34,120,55.798,-4.2989,51514,8583,9904,7368,25600,55995,1419,43885,5000,278,21,121
35,30,55.1,-4.1857,781,415,216,120,26,1153,33,50,177,392,60,15
36,60,54.882,-4.8078,8096,2680,2544,1564,1240,8979,171,3696,1791,1693,381,88
37,90,56.111,-3.2714,17460,3628,3937,3246,6617,18434,171,14987,1531,231,107,73
38,120,56.207,-3.2003,12639,3404,2988,3880,2362,15078,83,11525,521,149,54,70
39,60,55.936,-3.2363,15095,1427,1809,1836,10000,11829,668,12145,1888,21,6,46
40,90,55.855,-4.3154,59904,1338,3472,4766,50129,39384,3122,44799,9962,70,9,274
41,240,56.005,-3.6937,24468,5921,5973,4656,7899,28618,297,19618,3119,512,345,145
42,90,55.83,-4.2961,15348,1268,3479,2122,8431,12861,405,12169,2368,24,11,45
43,60,55.433,-2.802,11479,2593,2705,2060,4116,12691,271,7729,1326,1425,305,86
44,60,56.024,-4.709,7090,2372,920,1059,2736,8385,179,5963,629,117,28,39
45,90,56.043,-3.3902,15917,4383,4202,3504,3781,18291,105,14581,731,89,79,52
46,60,55.845,-4.5049,15944,4695,3303,3700,4240,20006,278,13558,1301,379,32,87
47,120,55.892,-3.1632,30485,6859,8812,7757,6771,35835,340,25124,1897,1785,423,300
48,90,55.903,-4.3099,40839,9759,12951,6170,11918,46649,622,35903,3111,282,55,146
49,120,55.576,-4.4655,28979,5132,9048,7748,6989,30315,220,25718,1342,1039,134,120
50,120,55.597,-4.4959,26441,7028,7183,5166,7045,30953,231,23027,1806,772,84,125
51,90,55.666,-4.6793,4105,517,855,1881,847,3788,31,3687,290,7,3,10
52,60,56.199,-3.039,13071,3355,4123,2582,2989,15862,166,11034,846,612,62,92
53,90,55.672,-3.8263,30779,11110,7533,6467,5577,40380,347,17192,5505,5283,1368,483
54,90,55.883,-3.4926,33337,8299,6761,12685,5556,39446,303,29761,1942,410,154,152
55,30,55.343,-4.6852,9714,3207,2177,2631,1681,11610,139,6030,1165,1708,332,123
56,120,55.825,-3.947,6158,1134,1688,1930,1400,6837,41,4850,600,402,106,46
57,60,54.955,-4.5021,5373,2202,1696,1014,448,6736,166,1735,1275,1566,333,94
58,60,55.84,-4.4129,33491,3324,7052,5900,17194,27339,848,27637,3986,59,19,294
59,60,55.87,-4.3154,11480,317,1226,1068,8803,5847,495,8025,2511,16,4,66
60,120,55.873,-4.2547,22960,635,2453,2137,17606,11695,991,16050,5023,33,9,132
61,120,55.954,-3.1247,21479,3120,5416,5804,7099,22664,337,18023,1742,545,313,104
62,60,56.146,-3.1433,20340,2473,5223,4497,8116,19060,137,18023,1558,47,97,42
63,120,55.647,-4.796,43633,8857,10931,11553,12251,43129,457,38573,2963,610,72,142
64,120,55.964,-3.185,30190,2854,3618,3672,20000,23658,1336,24291,3777,42,12,92
65,120,55.929,-3.3045,30190,2854,3618,3672,20000,23658,1336,24291,3777,42,12,92
66,90,55.937,-4.8139,20370,2895,4966,3082,9387,19328,360,17157,2216,50,10,107
67,60,55.844,-4.2597,11480,317,1226,1068,8803,5847,495,8025,2511,16,4,66
68,90,56.118,-3.9189,19383,3335,5390,4089,6530,20130,254,16054,2113,333,77,74
69,120,55.754,-4.0774,36104,6392,8543,8812,12341,37881,449,29892,4683,256,62,157
70,60,55.961,-4.5624,48006,7541,10280,9059,21005,47188,904,38662,4831,1766,254,436
71,60,55.962,-3.2429,15095,1427,1809,1836,10000,11829,668,12145,1888,21,6,46
72,30,54.865,-4.0297,8547,3752,2341,1543,880,11187,248,4084,1428,2106,202,88
73,120,55.863,-4.2652,22960,635,2453,2137,17606,11695,991,16050,5023,33,9,132
74,60,56.165,-3.2992,18250,2662,4788,7883,2913,18785,128,16395,1050,123,103,84
75,120,55.931,-3.2013,30190,2854,3618,3672,20000,23658,1336,24291,3777,42,12,92
76,120,55.766,-3.9298,44466,6966,11095,12019,14351,43662,372,37021,5288,464,132,172
77,60,56.34,-3.2941,24035,8716,5577,2168,7482,29598,680,14259,4917,3012,267,343
78,120,57.708,-4.2746,9978,3871,2970,2391,731,12195,235,3018,2766,2743,468,116
79,45,56.564,-2.6194,6404,2588,2202,924,683,8694,107,4758,593,660,65,69
80,45,57.554,-6.6453,2737,1905,536,223,62,3378,84,82,835,1159,280,28
81,45,57.469,-4.491,11970,6357,3094,1472,965,16869,298,3114,2606,4392,569,191
82,60,57.254,-3.7321,1410,937,323,97,40,2195,67,103,217,755,122,23
83,120,56.276,-3.8779,11540,5125,2601,1515,2270,15958,282,6362,2151,1914,286,162
84,60,56.72,-2.557,13270,3952,2809,2440,4011,15344,331,7671,2946,1659,191,104
85,30,57.248,-5.936,4823,2727,1260,432,367,6088,279,254,1438,1634,577,174
86,15,58.014,-3.8553,3084,1313,1230,384,153,3761,95,174,963,1223,347,44
87,60,56.397,-3.4878,13970,3910,2956,3112,3970,14884,210,9823,2928,558,74,95
88,150,55.59,-5.5027,6292,2383,1536,860,1493,6981,352,1754,2378,1156,285,73
89,90,56.474,-3.0449,23005,2666,5974,2747,11592,0,1030,16000,5288,39,9,52
90,60,56.277,-4.9217,638,253,208,84,93,839,21,73,279,167,54,15
91,60,57.14,-2.0986,11892,600,1900,1910,7459,10006,360,9377,1784,27,7,59
92,45,56.538,-3.2735,6416,3088,1480,935,891,9356,206,3095,1109,1483,161,94
93,30,57.132,-2.1541,12131,3228,2399,1541,4942,15038,247,9661,1390,490,22,68
94,60,56.463,-2.9784,11502,1333,2987,1373,5796,0,515,8000,2644,19,4,26
95,45,55.976,-4.9478,4758,1010,860,432,2447,4290,216,2734,1048,497,90,31
96,60,57.433,-6.5405,922,790,73,26,21,1381,47,87,160,408,85,20
97,60,57.216,-2.1901,9078,4207,3030,678,1151,13954,124,6733,956,976,64,66
98,90,57.329,-4.7922,21025,7275,6516,3957,3179,26021,343,13574,2536,3281,336,164
99,90,56.925,-2.3021,11163,4816,3119,1619,1598,16813,223,7240,1400,1686,206,97
100,15,57.137,-4.7189,624,322,146,87,57,815,33,48,145,273,55,13
101,60,56.821,-5.0785,6813,2344,1896,1554,977,8012,228,260,2683,2393,609,111
102,45,57.686,-2.0241,7528,2436,2184,1618,1287,8808,131,4561,1579,914,122,44
103,30,57.619,-4.8312,1899,1284,387,92,97,2533,140,145,569,658,157,54
